Set,ID,Rarity,Name,Type,Cost,Attack,Health,Flavour,Description,can_summon,on_summon,if_summon_cost,if_summon,can_activate,on_activate,on_draw_phase,on_standby_phase,begin_main_phase,end_main_phase,begin_battle_phase,end_battle_phase,begin_main_phase_2,end_main_phase_2,on_end_phase,if_destroyed,if_destroy_battle,if_destroyed_battle,if_send_graveyard,if_take_damage,if_take_battle_damage,can_attack,if_attack,if_attacked,if_attack_directly,end_attack,end_attacked,turn_begin,turn_end,spell_can_activate,spell_on_activate,spell_on_resolve
Fireplacerock,0,UR,Mew,Monster,2,200,200,"Apparently, it appears only to those people who are pure of heart and have a strong desire to see it.","Once per turn, you can pay 1 mana, this card’s effect becomes another face-up monster’s effect for rest this turn.",,,,,"if self.has_status(""MEW_ACTIVATED_EFFECT""):\n  return self.interp(self.mimic.can_activate)\nelse:\n  return can_target_field() and owner.mana >= 1","if self.has_status(""MEW_ACTIVATED_EFFECT""):\n  self.interp(self.mimic.on_activate)\nelse:\n  card = target_field()\n  self.mimic = card.template\n  self.status.append((""MEW_ACTIVATED_EFFECT"", 0, ""END""))",,,,,,,,,,,,,,,,,,,,,,,,,,
Fireplacerock,1,R,Unown,Monster,1,0,100,"Unown is just like Man; it dies to Pokemon with move. But for those who are unprepared for Man's—or rather, Unown's, for they are one and the same—unpredictability, they too will fall.","When this card is summoned, its name changes randomly.",,,,"c = random.randrange(28)\nif c == 26: self.name = ""Unown !""\nelif c == 27: self.name = ""Unown ?""\nelse: self.name = ""Unown "" + chr(c+ord(""A""))",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireplacerock,2,UR,Spright Elf,Monster,2,200,200,,"When this card is summoned, you can pay 1 mana; summon a 2 cost monster from your graveyard to your field. While this card is on your field, adjacent 2-cost monsters on your field cannot be targeted.",,,will_activate = owner.graveyard.contains(lambda card: card.cost == 2) and owner.can_pay(1) and prompt_user_activate(self.name);\nif will_activate:\n  owner.pay(1)\nreturn will_activate,"card = select_other_graveyard(lambda card: card.type == ""monster"" and card.cost == 2)\nowner.graveyard.remove(card)\nidx = target_owner_board_empty()\nio.summon(card, idx, owner)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireplacerock,3,C,Magikarp,Monster,0,0,200,Magikarp is a pathetic excuse for a Pokémon that is only capable of flopping and splashing. This behavior prompted scientists to undertake research into it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireplacerock,4,C,Mudkip,Monster,1,100,200,"To alert it, the fin on its head senses the flow of water. It has the strength to lift boulders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireplacerock,5,R,Pikachu,Monster,1,200,100,It lives in forests with others. It stores electricity in the pouches on its cheeks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireplacerock,6,C,Grovyle,Monster,2,300,200,"It lives in dense jungles. While closing in on its prey, it leaps from branch to branch.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireplacerock,7,C,Ampharos,Monster,3,300,400,The bright light on its tail can be seen far away. It has been treasured since ancient times as a beacon.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireplacerock,8,C,Blastoise,Monster,4,400,500,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireplacerock,9,R,Wailord,Monster,4,200,600,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fireplacerock,10,C,Snorlax,Monster,5,400,700,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
